customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4223-BKEOR,Female,0,No,Yes,-0.46564203405946936,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,-0.00047368133192848453,-0.421692754971925,No
6035-RIIOM,Female,0,No,No,0.8854581946752312,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),1.07465847544274,1.2541340481095817,No
3797-VTIDR,Male,0,Yes,No,-1.2844906575350454,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-1.376376966972462,-1.0020118278700563,Yes
2568-BRGYX,Male,0,No,No,-1.161663364013709,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.1773302456771746,-0.9072324917169751,Yes
2775-SEFEE,Male,0,No,Yes,-1.3254330887088244,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),-0.09851509902853642,-1.831946953862278e-17,No
4291-SHSBH,Male,0,No,No,-1.0388360704923727,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.15572789940504042,-0.7820088839510859,No
4635-EJYPD,Male,0,Yes,Yes,-0.015275291147902497,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,-1.5259316719333895,-0.7410924898822033,No
2607-DHDAK,Male,0,Yes,Yes,1.6224219558032498,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),-1.4976824498852144,-0.3872938210814011,No
5204-QZXPU,Male,0,No,No,-0.547526896407027,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,-0.8379800291131227,-0.6883342020655232,Yes
0221-NAUXK,Male,0,No,Yes,-0.9160087769710362,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),-1.4926972930531834,-0.915384840211261,No
3398-ZOUAA,Male,1,Yes,No,-0.46564203405946936,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.14077242890894756,-0.3607379324902581,Yes
1768-HNVGJ,Female,1,No,No,0.516976314111222,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,0.17234508884514346,0.34080589972534525,No
5917-RYRMG,Male,1,No,No,-0.015275291147902497,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),-1.4976824498852144,-0.7526913596911468,No
3858-XHYJO,Female,0,Yes,No,0.31226415824232795,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),1.3588124148685023,0.8560608362666411,No
4837-PZTIC,Female,0,No,No,0.5988611764587796,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,-0.763202676632659,-0.1837723188338059,No
2773-MADBQ,Female,0,No,No,0.14849443354721273,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,-0.39097763317435025,-0.17228391445161426,No
1090-PYKCI,Female,0,Yes,Yes,1.4995946622819134,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),1.3372100685963682,2.1844075929575513,No
